Precision,Recall,Threshold,Model
0.2283,0.3387,0.8435,LogisticRegression
0.2299,0.3226,0.8473,LogisticRegression
0.2195,0.2903,0.8512,LogisticRegression
0.1948,0.2419,0.8539,LogisticRegression
0.2083,0.2419,0.8581,LogisticRegression
0.2239,0.2419,0.8615,LogisticRegression
0.2097,0.2097,0.8641,LogisticRegression
0.2281,0.2097,0.8693,LogisticRegression
0.2115,0.1774,0.8722,LogisticRegression
0.1915,0.1452,0.878,LogisticRegression
0.1905,0.129,0.8808,LogisticRegression
0.1351,0.0806,0.8811,LogisticRegression
0.125,0.0645,0.8849,LogisticRegression
0.1481,0.0645,0.8868,LogisticRegression
0.1818,0.0645,0.8902,LogisticRegression
0.2353,0.0645,0.8952,LogisticRegression
0.1667,0.0323,0.8998,LogisticRegression
0.1429,0.0161,0.9093,LogisticRegression
0.0,0.0,0.9323,LogisticRegression
0.0496,1.0,0.0,RandomForest
0.1566,1.0,0.005,RandomForest
0.157,1.0,0.01,RandomForest
0.1582,1.0,0.015,RandomForest
0.1586,1.0,0.02,RandomForest
0.1584,0.9839,0.025,RandomForest
0.1605,0.9839,0.03,RandomForest
0.1609,0.9839,0.035,RandomForest
0.1631,0.9839,0.04,RandomForest
0.1626,0.9677,0.045,RandomForest
0.1611,0.9355,0.05,RandomForest
0.1615,0.9194,0.055,RandomForest
0.1609,0.9032,0.06,RandomForest
0.1627,0.8871,0.065,RandomForest
0.1667,0.8871,0.07,RandomForest
0.1724,0.8871,0.075,RandomForest
0.1738,0.8548,0.08,RandomForest
0.1678,0.7903,0.085,RandomForest
0.1696,0.7742,0.09,RandomForest
0.1722,0.7581,0.095,RandomForest
0.1815,0.7581,0.1,RandomForest
0.185,0.7581,0.105,RandomForest
0.1822,0.7258,0.11,RandomForest
0.1883,0.7258,0.115,RandomForest
0.1923,0.7258,0.12,RandomForest
0.1892,0.6774,0.125,RandomForest
0.1875,0.629,0.13,RandomForest
0.191,0.6129,0.135,RandomForest
0.1917,0.5968,0.14,RandomForest
0.1955,0.5645,0.145,RandomForest
0.2011,0.5645,0.15,RandomForest
0.1976,0.5323,0.155,RandomForest
0.2025,0.5161,0.16,RandomForest
0.2038,0.5161,0.165,RandomForest
0.2081,0.5,0.17,RandomForest
0.2168,0.5,0.175,RandomForest
0.2263,0.5,0.18,RandomForest
0.229,0.4839,0.185,RandomForest
0.2381,0.4839,0.19,RandomForest
0.2479,0.4839,0.195,RandomForest
0.2435,0.4516,0.2,RandomForest
0.2315,0.4032,0.205,RandomForest
0.233,0.3871,0.21,RandomForest
0.2371,0.371,0.215,RandomForest
0.25,0.371,0.22,RandomForest
0.2414,0.3387,0.225,RandomForest
0.25,0.3387,0.23,RandomForest
0.2564,0.3226,0.235,RandomForest
0.2466,0.2903,0.24,RandomForest
0.2647,0.2903,0.245,RandomForest
0.2687,0.2903,0.255,RandomForest
0.2857,0.2903,0.26,RandomForest
0.3051,0.2903,0.265,RandomForest
0.2727,0.2419,0.27,RandomForest
0.2857,0.2258,0.275,RandomForest
0.2708,0.2097,0.28,RandomForest
0.2609,0.1935,0.285,RandomForest
0.2326,0.1613,0.295,RandomForest
0.1892,0.1129,0.3,RandomForest
0.1818,0.0968,0.305,RandomForest
0.2,0.0968,0.31,RandomForest
0.2069,0.0968,0.315,RandomForest
0.1923,0.0806,0.32,RandomForest
0.16,0.0645,0.325,RandomForest
0.1667,0.0645,0.33,RandomForest
0.15,0.0484,0.335,RandomForest
0.1579,0.0484,0.345,RandomForest
0.1176,0.0323,0.35,RandomForest
0.0625,0.0161,0.37,RandomForest
0.0833,0.0161,0.4,RandomForest
0.0909,0.0161,0.41,RandomForest
0.1111,0.0161,0.42,RandomForest
0.125,0.0161,0.425,RandomForest
0.1429,0.0161,0.435,RandomForest
0.1667,0.0161,0.44,RandomForest
0.2,0.0161,0.45,RandomForest
0.0,0.0,0.47,RandomForest
0.0,0.0,0.485,RandomForest
0.0,0.0,0.52,RandomForest
0.0,0.0,0.525,RandomForest
0.0496,1.0,0.0003,GradientBoosting
0.0498,1.0,0.0003,GradientBoosting
0.0499,1.0,0.0004,GradientBoosting
0.05,1.0,0.0004,GradientBoosting
0.0501,1.0,0.0004,GradientBoosting
0.0502,1.0,0.0005,GradientBoosting
0.0504,1.0,0.0005,GradientBoosting
0.0505,1.0,0.0005,GradientBoosting
0.0507,1.0,0.0005,GradientBoosting
0.0508,1.0,0.0005,GradientBoosting
0.0509,1.0,0.0005,GradientBoosting
0.051,1.0,0.0006,GradientBoosting
0.0512,1.0,0.0006,GradientBoosting
0.0513,1.0,0.0006,GradientBoosting
0.0515,1.0,0.0006,GradientBoosting
0.0516,1.0,0.0006,GradientBoosting
0.0517,1.0,0.0006,GradientBoosting
0.0518,1.0,0.0006,GradientBoosting
0.052,1.0,0.0007,GradientBoosting
0.0523,1.0,0.0007,GradientBoosting
0.0525,1.0,0.0007,GradientBoosting
0.0526,1.0,0.0007,GradientBoosting
0.0528,1.0,0.0007,GradientBoosting
0.053,1.0,0.0007,GradientBoosting
0.0532,1.0,0.0007,GradientBoosting
0.0534,1.0,0.0007,GradientBoosting
0.0535,1.0,0.0007,GradientBoosting
0.0537,1.0,0.0007,GradientBoosting
0.0539,1.0,0.0007,GradientBoosting
